iter	MultiClass
470	0.5665851806
471	0.5664940156
472	0.5663730093
473	0.5662838762
474	0.5662322287
475	0.5661514921
476	0.5660354286
477	0.5659222874
478	0.565800144
479	0.5656851957
480	0.565569864
481	0.5654445322
482	0.5653753573
483	0.5653034327
484	0.5652501443
485	0.5651714656
486	0.5650714047
487	0.5649874952
488	0.5649243366
489	0.564871037
490	0.5647924375
491	0.5647030686
492	0.5646349495
493	0.5645800121
494	0.5644587009
495	0.5644073211
496	0.5642942311
497	0.5642651464
498	0.5641936821
499	0.5641197728
500	0.5639900129
501	0.5638733832
502	0.5637659975
503	0.5637058924
504	0.5636250977
505	0.563573407
506	0.563500073
507	0.5634317438
508	0.5633573568
509	0.5633052116
510	0.5632451055
511	0.5631862194
512	0.5630979205
513	0.5630179503
514	0.5629207237
515	0.5628605942
516	0.562789077
517	0.5626851995
518	0.5626159305
519	0.5625715299
520	0.5625077975
521	0.5624679367
522	0.5624243241
523	0.5623338489
524	0.5621869376
525	0.5621016451
526	0.5620501989
527	0.5619584019
528	0.5619192137
529	0.5618378786
530	0.5617721872
531	0.5617158568
532	0.5616527663
533	0.5615764714
534	0.5615067928
535	0.5613615215
536	0.5612364941
537	0.5611687833
538	0.5611360256
539	0.5610674154
540	0.5610029386
541	0.5609195016
542	0.5608469507
543	0.5607815745
544	0.5606882473
545	0.5606429252
546	0.5605859904
547	0.5605408226
548	0.5604710152
549	0.5604134138
550	0.5603326835
551	0.560269394
552	0.560138618
553	0.5600830933
554	0.5600003398
555	0.5599206308
556	0.5598604296
557	0.5597994965
558	0.5597475685
559	0.5597192882
560	0.5596492848
561	0.5596057714
562	0.5595176162
563	0.5594602795
564	0.5593973136
565	0.5593622578
566	0.5592698685
567	0.5591757271
568	0.5591287212
569	0.5590819622
570	0.5590168844
571	0.5589507268
572	0.5588789747
573	0.5587949804
574	0.5587145305
575	0.5586455354
576	0.5585936681
577	0.5585421306
578	0.558507093
579	0.5584593404
580	0.5583963295
581	0.558344864
582	0.5582858815
583	0.5582507268
584	0.5581933117
585	0.5581250314
586	0.55807321
587	0.558027644
588	0.5579818994
589	0.55787869
590	0.5578528035
591	0.557779759
592	0.5577210074
593	0.5576742026
594	0.557616405
595	0.5575529726
596	0.5574743917
597	0.5574241819
598	0.5573263354
599	0.5572683438
600	0.5571881808
601	0.5571187433
602	0.5570812023
603	0.5570001715
604	0.5569541238
605	0.5568765418
606	0.5568128571
607	0.5567389537
608	0.5566731152
609	0.5566061766
610	0.5565375251
611	0.5564894068
612	0.5564185181
613	0.5563423882
614	0.5562635019
615	0.5562021019
616	0.5561330807
617	0.5560897735
618	0.5560222961
619	0.555944398
620	0.5559084745
621	0.5558652227
622	0.5558009945
623	0.5557381604
624	0.555703385
625	0.5556343421
626	0.5555518967
627	0.5554867139
628	0.5554306652
629	0.5553593997
630	0.5552805648
631	0.5552328557
632	0.5551916699
633	0.5551158197
634	0.5550802863
635	0.5550323779
636	0.5549927448
637	0.5549369411
638	0.5549090874
639	0.5548679502
640	0.5548114634
641	0.5547541785
642	0.5547045516
643	0.5546574897
644	0.5546245745
645	0.5546010304
646	0.5545692002
647	0.5545260532
648	0.5544682281
649	0.5544056753
650	0.5543500657
651	0.5543217873
652	0.5542554783
653	0.5542347287
654	0.554184878
655	0.5540906684
656	0.5540074861
657	0.553945908
658	0.5538647837
659	0.5537951346
660	0.5537401861
661	0.5536734382
662	0.5536131973
663	0.5535386112
664	0.5534835508
665	0.5534418853
666	0.5534025395
667	0.5533366156
668	0.5533064644
669	0.5532622743
670	0.5532097008
671	0.5531565039
672	0.5530940984
673	0.5530656176
674	0.5530302909
675	0.5529797485
676	0.552925603
677	0.5529077341
678	0.5528506156
679	0.5528154105
680	0.5527825074
681	0.5527317451
682	0.552681446
683	0.5526492641
684	0.552592239
685	0.5525454519
686	0.5524970963
687	0.552448923
688	0.5523777103
689	0.5523384663
690	0.5522501242
691	0.5522118493
692	0.5521313457
693	0.5520638824
694	0.5520165547
695	0.5519793339
696	0.5519052704
697	0.5518612278
698	0.551818206
699	0.551747821
700	0.5517150907
701	0.5516459892
702	0.5515842699
703	0.5515253805
704	0.551444451
705	0.5514094492
706	0.551356109
707	0.5513258571
708	0.5512660037
709	0.5511981698
710	0.5511695141
711	0.551116892
712	0.5510387156
713	0.5509991568
714	0.5509281361
715	0.5508859143
716	0.5508506866
717	0.5507953033
718	0.5507451853
719	0.5506904842
720	0.5506472482
721	0.5505988042
722	0.5505787139
723	0.5505316589
724	0.5504966767
725	0.5504241041
726	0.5503759032
727	0.5503172023
728	0.5502573438
729	0.550204572
730	0.5501559903
731	0.5501140617
732	0.5500853939
733	0.5500218821
734	0.5499775911
735	0.5499346015
736	0.5498606976
737	0.5498004394
738	0.5497705756
739	0.5497087694
740	0.5496713574
741	0.5496295695
742	0.5495833933
743	0.549533803
744	0.5494521104
745	0.5494282139
746	0.5494003756
747	0.549353744
748	0.5493271706
749	0.5492567951
750	0.549230225
751	0.549177008
752	0.549130531
753	0.5490927714
754	0.5490399589
755	0.5489862264
756	0.5489363443
757	0.5489044657
758	0.5488513885
759	0.548820433
760	0.5487707542
761	0.5487186713
762	0.5486754484
763	0.548612588
764	0.5485696538
765	0.5484802801
766	0.5484323449
767	0.5483683818
768	0.5483270184
769	0.5482735417
770	0.5482214569
771	0.54819733
772	0.5481456913
773	0.5480916893
774	0.5480709023
775	0.5480412791
776	0.5479970958
777	0.5479582262
778	0.5479031433
779	0.5478495187
780	0.5477983522
781	0.5477508898
782	0.5477055942
783	0.5476713668
784	0.5476325292
785	0.5475795855
786	0.5475380726
787	0.5474996089
788	0.5474554196
789	0.5473888462
790	0.5473435882
791	0.5472881511
792	0.5472498538
793	0.5471773474
794	0.547124333
795	0.5470584094
796	0.5470009086
797	0.5469358495
